"Date","Provider_Org_code","Provider_name","total_complete","total_incomplete","median_wait_complete","median_wait_incomplete","twoweek_complete","twoweek_incomplete"
2015-12-01,"NHV","COMMUNITY LINKS (NORTHERN) LTD",5,16,1.5,2.2,0.6,0.4375
2015-12-01,"NKD","THE YOUTH ENQUIRY SERVICE (PLYMOUTH) LTD",16,17,12.2,6.16666666666667,0.125,0.235294117647059
2015-12-01,"NQL","NAVIGO",8,2,0.666666666666667,5,0.75,0
2015-12-01,"R1A","WORCESTERSHIRE HEALTH AND CARE NHS TRUST",7,5,0.875,1.5,0.857142857142857,0.8
2015-12-01,"R1F","ISLE OF WIGHT NHS TRUST",8,0,2.5,13,0.375,NA
2015-12-01,"RAT","NORTH EAST LONDON NHS FOUNDATION TRUST",19,15,0.730769230769231,1.83333333333333,0.947368421052632,0.533333333333333
2015-12-01,"RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST",16,3,1,0.5,0.75,1
2015-12-01,"RH5","SOMERSET PARTNERSHIP NHS FOUNDATION TRUST",5,25,3.5,12.1666666666667,0.2,0.16
2015-12-01,"RHA","NOTTINGHAMSHIRE HEALTHCARE NHS FOUNDATION TRUST",16,14,3,7,0.375,0.142857142857143
2015-12-01,"RJ8","CORNWALL PARTNERSHIP NHS FOUNDATION TRUST",9,9,6.5,12.5,0.111111111111111,0
2015-12-01,"RKL","WEST LONDON MENTAL HEALTH NHS TRUST",11,8,0.916666666666667,0.666666666666667,0.818181818181818,0.75
2015-12-01,"RLY","NORTH STAFFORDSHIRE COMBINED HEALTHCARE NHS TRUST",8,8,2,3,0.5,0.375
2015-12-01,"RMY","NORFOLK AND SUFFOLK NHS FOUNDATION TRUST",9,0,7.25,13,0.222222222222222,NA
2015-12-01,"RNN","CUMBRIA PARTNERSHIP NHS FOUNDATION TRUST",6,6,1.25,5.33333333333333,1,0
2015-12-01,"RNU","OXFORD HEALTH NHS FOUNDATION TRUST",11,5,0.916666666666667,0.833333333333333,0.818181818181818,1
2015-12-01,"RP1","NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST",13,1,1.38888888888889,1.5,0.923076923076923,1
2015-12-01,"RP7","LINCOLNSHIRE PARTNERSHIP NHS FOUNDATION TRUST",20,88,7.5,12.2413793103448,0.15,0.0568181818181818
2015-12-01,"RPG","OXLEAS NHS FOUNDATION TRUST",55,8,1.78125,0.8,0.563636363636364,0.75
2015-12-01,"RQ3","BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST",2,0,0.5,13,1,NA
2015-12-01,"RQY","SOUTH WEST LONDON AND ST GEORGE'S MENTAL HEALTH NHS TRUST",24,9,1.14285714285714,1.75,0.75,0.666666666666667
2015-12-01,"RRD","NORTH ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST",8,4,1.5,2,0.625,0.5
2015-12-01,"RRE","SOUTH STAFFORDSHIRE AND SHROPSHIRE HEALTHCARE NHS FOUNDATION TRUST",4,14,1,3.25,0.75,0.285714285714286
2015-12-01,"RRP","BARNET, ENFIELD AND HARINGEY MENTAL HEALTH NHS TRUST",23,4,0.638888888888889,6.33333333333333,0.91304347826087,0
2015-12-01,"RT1","CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST",46,14,0.71875,0.636363636363636,0.847826086956522,0.857142857142857
2015-12-01,"RT2","PENNINE CARE NHS FOUNDATION TRUST",13,132,11.75,10,0,0.0606060606060606
2015-12-01,"RT5","LEICESTERSHIRE PARTNERSHIP NHS TRUST",7,19,2.16666666666667,2.58333333333333,0.428571428571429,0.31578947368421
2015-12-01,"RTQ","2GETHER NHS FOUNDATION TRUST",10,1,1.8,2.5,0.6,0
2015-12-01,"RTV","NORTH WEST BOROUGHS HEALTHCARE NHS FOUNDATION TRUST",6,70,1.75,8.5,0.666666666666667,0.185714285714286
2015-12-01,"RV3","CENTRAL AND NORTH WEST LONDON NHS FOUNDATION TRUST",32,127,1.77777777777778,8.5,0.5625,0.0393700787401575
2015-12-01,"RV5","SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST",11,13,1.625,2.5,0.636363636363636,0.307692307692308
2015-12-01,"RV9","HUMBER NHS FOUNDATION TRUST",7,6,2.5,1.66666666666667,0.142857142857143,0.666666666666667
2015-12-01,"RVN","AVON AND WILTSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST",30,5,1.2,12.1666666666667,0.766666666666667,0
2015-12-01,"RW1","SOUTHERN HEALTH NHS FOUNDATION TRUST",9,8,2.75,12.2,0.333333333333333,0.125
2015-12-01,"RW4","MERSEY CARE NHS FOUNDATION TRUST",15,16,1.125,5,0.733333333333333,0.25
2015-12-01,"RW5","LANCASHIRE CARE NHS FOUNDATION TRUST",24,43,1.9,2.73076923076923,0.541666666666667,0.27906976744186
2015-12-01,"RWK","EAST LONDON NHS FOUNDATION TRUST",24,54,1.16666666666667,5.8,0.708333333333333,0.222222222222222
2015-12-01,"RWN","SOUTH ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST",6,0,1.25,13,1,NA
2015-12-01,"RWR","HERTFORDSHIRE PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST",17,0,1.16666666666667,13,0.647058823529412,NA
2015-12-01,"RWV","DEVON PARTNERSHIP NHS TRUST",3,15,0.75,5.1,0.666666666666667,0.0666666666666667
2015-12-01,"RWX","BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST",5,0,5.25,13,0.4,NA
2015-12-01,"RX2","SUSSEX PARTNERSHIP NHS FOUNDATION TRUST",38,14,1.28571428571429,1.66666666666667,0.631578947368421,0.642857142857143
2015-12-01,"RX3","TEES, ESK AND WEAR VALLEYS NHS FOUNDATION TRUST",28,123,1.42857142857143,7.58333333333333,0.642857142857143,0.154471544715447
2015-12-01,"RX4","NORTHUMBERLAND, TYNE AND WEAR NHS FOUNDATION TRUST",27,28,2.91666666666667,2,0.296296296296296,0.5
2015-12-01,"RXA","CHESHIRE AND WIRRAL PARTNERSHIP NHS FOUNDATION TRUST",4,1,3.5,1.5,0.25,1
2015-12-01,"RXE","ROTHERHAM DONCASTER AND SOUTH HUMBER NHS FOUNDATION TRUST",24,22,2.875,5.75,0.208333333333333,0
2015-12-01,"RXG","SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST",27,16,0.964285714285714,2.44444444444444,0.851851851851852,0.25
2015-12-01,"RXM","DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST",8,6,0.8,1,0.75,0.833333333333333
2015-12-01,"RXT","BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST",20,79,8.33333333333333,3.35714285714286,0.05,0.392405063291139
2015-12-01,"RXV","GREATER MANCHESTER MENTAL HEALTH NHS FOUNDATION TRUST",14,16,1,1.875,1,0.5625
2015-12-01,"RXX","SURREY AND BORDERS PARTNERSHIP NHS FOUNDATION TRUST",13,10,0.8125,1.33333333333333,1,0.9
2015-12-01,"RXY","KENT AND MEDWAY NHS AND SOCIAL CARE PARTNERSHIP TRUST",21,36,1.65,2.77777777777778,0.666666666666667,0.305555555555556
2015-12-01,"RYG","COVENTRY AND WARWICKSHIRE PARTNERSHIP NHS TRUST",35,0,9.5,13,0.2,NA
